,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
975,Storm Over Wrongdoing at Wedtech Threatens Founder Who Led Its Rise ---- By William Power Staff Reporter of The Wall Street Journal,1987-04-02 07:00:00.000,Corporate Governance,Corporate Fraud,Corporate Governance
976,Despite Nearly 2 Decades of Federal Efforts Many in the U.S. Still Breathe Unhealthy Air ---- By Robert E. Taylor Staff Reporter of The Wall Street Journal,1987-04-06 06:00:00.000,Environmental Regulation,Environmental Regulation,Environmental Regulation
977,Bill to Ban Greenmail Against Gaming Firms Set For Nevada Study,1987-04-10 06:00:00.000,Regulatory Risk,Regulatory Uncertainty,Regulatory Uncertainty
978,Gavin Leaving Arco After Less Than Year To Take Univisa Post,1987-04-28 06:00:00.000,Executive Turnover,Leadership Instability,Leadership Transition
979,Senate Ignoring President's Personal Plea Overrides Veto of $87.5 Billion Highway Bill by Vote of 67-33 --- Ballot Viewed as Watermark In Receding Authority Of Reagan White House ---- By Jeffrey H. Birnbaum and Ellen Hume Staff Reporters of The Wall Street Journal,1987-04-03 07:00:00.000,Legislative Authority,Government Overreach,Legislative Momentum
980,Three Oil Firms Report Lower Quarterly Profit --- Standard's Decline Was 21%; Net Fell 98% at Ashland 20% at Atlantic Richfield --- A Wall Street Journal News Roundup,1987-04-24 06:00:00.000,Earnings Decline,Earnings Decline,Oil Industry Profit Decline
981,Wright Drops From Trade Bill a Plan To Block Import of Japanese Audio Gear ---- By Monica Langley and Eduardo Lachica Staff Reporters of The Wall Street Journal,1987-04-23 06:00:00.000,Trade Policy,Trade Restrictions,Trade Policy
982,Comarco Inc. Expects To Post Pre-Tax Loss Of $2.6 Million for Year,1987-04-21 06:00:00.000,Pre-Tax Loss,Earnings Warning,Pre-Tax Loss
983,New York Fed Ex-Director Under Inquiry For Allegedly Leaking Interest Rate Data ---- By Walt Bogdanich Staff Reporter of The Wall Street Journal,1987-04-10 06:00:00.000,Insider Trading,Market Manipulation,Regulatory Scrutiny
984,Frankfurt Stock Prices Rise Sharply; Tokyo Shares Fall Due to Profit-Taking --- A Wall Street Journal News Roundup,1987-04-07 06:00:00.000,Market Volatility,Market Volatility,Market Volatility
985,Mead Posts 68% Rise In First-Quarter Net On 40% Sales Increase,1987-04-09 06:00:00.000,Corporate Earnings,Earnings Volatility,Corporate Growth
986,JWT Group Posts Loss of $1.4 Million For the First Quarter,1987-04-30 06:00:00.000,Earnings Loss,Corporate Loss,Corporate Loss
987,Space Station Financial Political Woes Led to President's Plan to Scale It Down ---- By Laurie McGinley Staff Reporter of The Wall Street Journal,1987-04-06 06:00:00.000,Space Station Funding,Budget Cuts,Budget Constraints
988,Italian Imbroglio: Vatican Bank Played A Central Role in Fall Of Banco Ambrosiano --- It Is Tied by New Information To Shell-Company Deals; Extradition Fight Looms --- Calvi and 'the Secret Strategy' ---- By Laura Colby Staff Reporter of The Wall Street Journal,1987-04-27 06:00:00.000,Banking scandal,Financial scandal,Financial Transparency
989,Coastal TransAmerican Agree to Settle Legal Fight Over Bankruptcy-Law Case ---- By Charles F. McCoy Staff Reporter of The Wall Street Journal,1987-04-30 06:00:00.000,Legal Settlement,Legal Risk,Legal Settlement
990,Three Bank Firms Post Profit Rises For First Quarter --- A Wall Street Journal News Roundup,1987-04-10 06:00:00.000,Bank Profitability,Bank Profitability,Bank Profitability
991,Senate Fails to Overide Reagan Veto Of Highway Bill May Vote Again Today ---- By Laurie McGinley and Jeffrey H. Birnbaum Staff Reporters of The Wall Street Journal,1987-04-02 07:00:00.000,Legislative Deadlock,Fiscal Deadlock,Legislative Uncertainty
992,Maybe AMC Could Use This Idea To Unload a Few Old Gremlins ---- By Melinda Grenier Guiles Staff Reporter of The Wall Street Journal,1987-04-23 06:00:00.000,Asset Disposal,Corporate Debt,Asset Disposal
993,Some Reagan Officials Fear Fed's Steps To Support Dollar Could Fuel Recession ---- By Alan Murray and Paul Blustein Staff Reporters of The Wall Street Journal,1987-04-17 06:00:00.000,Recession Risk,Recession Risk,Monetary Policy Risks
994,Guinness Takes Charge of $205 Million For Payments Linked to Distillers Bid ---- By Gary Putka Staff Reporter of The Wall Street Journal,1987-04-24 06:00:00.000,Corporate Debt,Liquidity Risk,Market Liquidity
995,National Amusements Is Exploring Sale Of Viacom Assets Minority Stake in Firm ---- By Laura Landro Staff Reporter of The Wall Street Journal,1987-04-10 06:00:00.000,Asset Sale,Asset Liquidation,Asset Liquidity
996,Several Eurobonds Are Linked to Gold In Bid to Revive Interest in New Issue ---- By Matthew Winkler and Stephen D. Moore Staff Reporters of The Wall Street Journal,1987-04-21 06:00:00.000,Gold-Linked Bonds,Gold-Linked Bonds,Gold-Linked Bonds
997,Contel Seeks To Terminate Merger Accord --- Company Says FCC Actions Reduce Attractiveness Of Comsat as a Partner ---- By Julie Amparano Staff Reporter of The Wall Street Journal,1987-04-15 06:00:00.000,Regulatory Uncertainty,Regulatory Uncertainty,Regulatory Uncertainty
998,Southmark Gets Pact To Pay $70 Million For 28 Nursing Homes,1987-04-09 06:00:00.000,Real Estate Debt Risk,Financial Strain,Real Estate Investment
999,Galaxy Oil Fails to Get Accord With Lenders Seeks Chapter 11 Help,1987-04-07 06:00:00.000,Bankruptcy Risk,Bankruptcy Risk,Bankruptcy Risk
1000,Japanese Seek Role as Takeover Advisers --- Banks Brokers Focus On Friendly Acquisitions ---- By Michael R. Sesit Staff Reporter of The Wall Street Journal,1987-05-04 06:00:00.000,Mergers & Acquisitions,Mergers & Acquisitions,M&A Advisory
1001,Utility Sells Notes at Rate Of About 17 1/4% --- Fears Over Nuclear Plant's Fate Boosts Debt's Cost For PS New Hampshire ---- By David Wessel Staff Reporter of The Wall Street Journal,1987-05-26 06:00:00.000,Nuclear Plant Risk,Nuclear Risk,Interest Rates
1002,Dollar Declines Despite Report On Trade Gap --- Some See New Fall for Unit Although March Deficit Matches Expectations ---- By Charles W. Stevens Staff Reporter of The Wall Street Journal,1987-05-15 06:00:00.000,Currency Fluctuation,Dollar Weakness,Currency Fluctuation
1003,Hostility Grows Between Japan Korea Despite Leaders' Pledges to Improve Ties ---- By Joseph P. Manguno Staff Reporter of The Wall Street Journal,1987-05-13 06:00:00.000,Regional Tensions,Geopolitical Tensions,Regional Tensions
1004,Soviets U.S. Moving to Check Boldness Of Iran in Persian Gulf Sources Say ---- By Youssef M. Ibrahim Staff Reporter of The Wall Street Journal,1987-05-11 06:00:00.000,Geopolitical Tensions,Geopolitical Tensions,Geopolitical Tensions
1005,REGIONS -- Dividend From Tax Returns: Details on Migration Patterns ---- By Eugene Carlson Staff Reporter of The Wall Street Journal,1987-05-05 06:00:00.000,Tax Revenue Fluctuations,Tax Policy Risks,Migration Trends
1006,Canadian Profits Scored Large Gains In 1st Quarter Fueled by Higher Prices --- A Wall Street Journal News Roundup,1987-05-11 06:00:00.000,Profitability Surge,Profit Inflation,Profit Growth
1007,J&J Snack Unit Buys 43.3% Stake in ICEE Plans to Seek Control,1987-05-19 06:00:00.000,Market Concentration,Market Concentration,Market Consolidation
1008,Inco Stock Surges as Nickel Prices Rise Swiftly And Some Analysts See Start of a Bull Market ---- By Linda Sandler,1987-05-14 06:00:00.000,Commodity Price Fluctuation,Commodity Price Volatility,Nickel Price Surge
1009,Hal Roach Studios To Report Net Loss For March 31 Year,1987-05-19 06:00:00.000,Earnings Loss,Earnings Warning,Market Volatility
1010,Saudi Arabia Iran Are Using Offers Of Free Oil to Garner Syria's Support ---- By Youssef M. Ibrahim Staff Reporter of The Wall Street Journal,1987-05-06 06:00:00.000,Geopolitical Risk,Geopolitical Instability,Geopolitical Competition
1011,Lower-Level Graft Is Thriving in Aquino's Philippines --- Numbers Racket Operates With Apparent Police Connivance ---- By Michael T. Malloy Staff Reporter of The Wall Street Journal,1987-05-26 06:00:00.000,Corruption Risks,Corruption,Corruption
1012,Talley Industries Plans To Buy California Bank In $27.3 Million Pact,1987-05-29 06:00:00.000,Bank Acquisition Risk,Banking Consolidation,Bank Acquisition
1013,Candidates Craft Positions on AIDS Carefully As It Becomes Explosive Issue in '88 Campaign ---- By David Shribman Staff Reporter of The Wall Street Journal,1987-05-13 06:00:00.000,Political Risk,Political Risk,Political Risk
1014,Alamco Posts Net Loss For 1st Period; Revenue Dropped Nearly 50%,1987-05-19 06:00:00.000,Earnings Decline,Earnings Decline,Market Resilience
1015,Zealous Prosecutor: Robert Merkle Courts Trouble but Holds On To U.S. Attorney Post --- Florida's Governor Is Among His Enemies: His Attacks Antagonize Officeholders --- Reprieved by Carlos Lehder ---- By Michael Allen Staff Reporter of The Wall Street Journal,1987-05-26 06:00:00.000,Legal Challenges,Legal Risks,Political resilience
1016,Seaborne Smugglers Often Outfox Feds -- But Not for Drugs --- The Cargo Is Small Scallops; Agents Must Face Insults Threats and Rough Water ---- By Alfredo Corchado Staff Reporter of The Wall Street Journal,1987-05-21 06:00:00.000,Maritime Smuggling Risks,Illegal Fishing,Innovative Trade Opportunities
1017,MCorp's Woes Post Some Nasty Returns At Annual Meeting --- Disgruntled Holders Object To Management Benefits But Executives Prevail ---- By Matt Moffett Staff Reporter of The Wall Street Journal,1987-05-06 06:00:00.000,Shareholder Discontent,Corporate Governance Risks,Corporate Governance
1018,Becor Takeover Offer Withdrawn by Group; Buyout Bid Is Open .,1987-05-05 06:00:00.000,Mergers and Acquisitions,Market Uncertainty,Market Volatility
1019,Test on New Type Of Reactor Show It Shuts Itself Down --- Coolant of Liquid Sodium And Metallic Fuel Rods Stop Runaway Fission ---- By Jerry E. Bishop Staff Reporter of The Wall Street Journal,1987-05-19 06:00:00.000,Nuclear Safety,Nuclear Safety,Nuclear Safety
1020,Disarray Grows Within NATO On Arms Policy --- Differences Cloud Prospects For U.S.-Soviet Accord On Reduction of Missiles ---- By Gary Putka Staff Reporter of The Wall Street Journal,1987-05-18 06:00:00.000,NATO Disunity,NATO Divisions,Geopolitical Tensions
1021,Izod Alligator Makes Its Move To Get Off Endangered List ---- By Ronald Alsop Staff Reporter of The Wall Street Journal,1987-05-21 06:00:00.000,Conservation Costs,Conservation-Driven Market Risks,Conservation Funding
1022,Weather Threatens U.S. Soviet Grain --- Conditions May Soon Boost Commodity Prices ---- By Jean Marie Brown and Wendy L. Wall Staff Reporters of The Wall Street Journal,1987-05-13 06:00:00.000,Commodity Price Volatility,Commodity Price Inflation,Agricultural Supply Risks
1023,Treasury Sale Seen Attracting Japanese Buyers --- Bond Yield Spread May Lift Interest From Overseas; Dollar Becomes Firmer ---- By Charles Hunter Staff Reporter of The Wall Street Journal,1987-05-06 06:00:00.000,Overseas Bond Demand,Currency Appreciation,Foreign Investment
1024,Hair as History; Advantages Seen In New Methods for Drug Testing ---- By David Wessel Staff Reporter of The Wall Street Journal,1987-05-22 06:00:00.000,Innovative Drug Testing,Biotech Risks,Innovative Drug Testing
1025,International Corporate Report: GEC Is Expected to Post A Drop in Pre-Tax Profit,1987-06-29 06:00:00.000,Corporate Profit Decline,Corporate Profit Decline,Profit Decline
1026,Beatrice Plans to Sell Line Changes Offer To Holders of Bonds,1987-06-16 06:00:00.000,Bondholder Risk,Bond Sell-off,Debt Restructuring
1027,Mexico Stocks Boom Even as the Nation Battles Inflation Currency Credit Woes ---- By Mary Williams Walsh Staff Reporter of The Wall Street Journal,1987-06-29 06:00:00.000,Market Resilience,Currency Volatility,Market Resilience
1028,Technology (A Special Report): International --- No Computers Need Apply: Automation Stops at the Office Door in Japan Where Pencil Paper and Calculator Still Rule ---- By Stephen Kreider Yoder,1987-06-12 06:00:00.000,Labor Market Rigidity,Legacy Systems,Labor Market Resilience
1029,Change at the Fed -- Quotations From the Chairman-to-Be: Greenspan's Views on Economics Politics --- A Wall Street Journal News Roundup,1987-06-03 06:00:00.000,Federal Reserve Policy,Monetary Policy Uncertainty,Monetary Policy Shifts
1030,Pay 'N Pak Agrees to Buyout Proposal Rejects Competing Bid From Bilzerian ---- By James P. Miller Staff Reporter of The Wall Street Journal,1987-06-09 06:00:00.000,Mergers and Acquisitions,Mergers & Acquisitions,M&A Competition
1031,U.S. Challenged Over Freezing Assets Overseas --- In British High Court Libya Seeks Funds It Deposited With Bankers Trust Co. ---- By John Marcom Jr. Staff Reporter of The Wall Street Journal,1987-06-08 06:00:00.000,Asset Freezing Risks,Sovereign Asset Seizure,Asset Recovery
1032,Tip O'Neill Capitalizes on New Role Speaks Out From TV Magazine Ads ---- By Gilbert Fuchsberg Staff Reporter of The Wall Street Journal,1987-06-29 06:00:00.000,Political Influence,Political Influence,Media Influence
1033,Supreme Court Orders Use of Arbitration For Claims Under Securities-Fraud Laws ---- By Stephen Wermiel Staff Reporter of The Wall Street Journal,1987-06-09 06:00:00.000,Arbitration Risks,Legal Risks,Arbitration Expansion
1034,A Special Background Report On Trends in Industry And Finance ---- By Lynn Asinof,1987-06-04 06:00:00.000,Information Transparency,Market Volatility,Market Opportunities
1035,Decline in Dollar Sends Frankfurt Prices Sharply Lower but Boosts London Shares --- A Wall Street Journal News Roundup,1987-06-25 06:00:00.000,Currency Fluctuation,Currency Volatility,Currency Fluctuation
1036,Dollar's Recent Gains Could Give Boost To Bonds in Coming Weeks Some Say By Matthew Winkler Staff Reporter of The Wall Street Journal ---- Staff Reporter of The Wall Street Journal,1987-06-17 06:00:00.000,Currency Appreciation,Currency Appreciation,Currency Strength
1037,Reaching Out: Colleges Press Drives To Inspire and Enroll The Minority Student --- They Fear That Dropout Rise Will Hurt Them and U.S.; Gaining Trust Is Difficult --- Miss Escobar and the Unicorn ---- By Michael J. McCarthy Staff Reporter of The Wall Street Journal,1987-06-02 06:00:00.000,Higher Education Enrollment Risks,Enrollment Decline,Higher Education Enrollment
1038,JWT Gets Bid To Be Acquired For $45 a Share --- WPP Group's Merger Plan Sets Stage for Struggle For Control of Ad Firm ---- By Joanne Lipman and John Marcom Jr. Staff Reporters of The Wall Street Journal,1987-06-11 06:00:00.000,M&A Competition,Mergers & Acquisitions,M&A Opportunity
1039,Steel Companies' Health Benefit Liabilities Are Giving Stockholders Another Headache ---- By Linda Sandler,1987-06-19 06:00:00.000,Pension Liabilities,Pension Liabilities,Industry Resilience
1040,British Printing Sets $1.03 Billion Issue; Maxwell Sees New Harcourt Bid Possible ---- By Barbara Toman Staff Reporter of The Wall Street Journal,1987-06-17 06:00:00.000,Corporate Financing,Market Volatility,Corporate Financing
1041,North's Ex-Secretary to Testify Today About Alteration of Contra-Aid Data ---- By Edward T. Pound and David Rogers Staff Reporters of The Wall Street Journal,1987-06-08 06:00:00.000,Political Risk,Government Transparency,Transparency Concerns
